RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
544811000005129	544811000005101	116680003	304813002	0	0	0
544821000005124	544821000005107	116680003	304813002	0	0	0
544831000005122	544831000005105	116680003	50357006	0	0	0
544841000005125	544841000005102	116680003	305224000	0	0	0
544851000005128	544851000005100	116680003	305224000	0	0	0
544861000005126	544861000005103	116680003	11429006	0	0	0
545011000005123	545011000005106	116680003	276339004	0	0	0
545021000005128	545021000005100	116680003	545011000005106	0	0	0
545031000005125	545031000005102	116680003	545011000005106	0	0	0
545041000005122	545041000005105	116680003	545011000005106	0	0	0
545051000005124	545051000005107	116680003	545011000005106	0	0	0
545211000005129	545211000005101	116680003	545011000005106	0	0	0
545921000005129	545921000005101	116680003	545011000005106	0	0	0
546241000005121	546241000005109	116680003	55566008	0	0	0
546251000005123	546251000005106	116680003	55566008	0	0	0
546431000005125	546811000005109	116680003	288573005	0	0	0
546441000005122	546821000005103	116680003	288573005	0	0	0
546611000005120	547011000005103	116680003	288573005	0	0	0
546811000005121	547211000005108	116680003	276339004	0	0	0
547021000005121	547411000005109	116680003	321315007	0	0	0
547041000005127	547411000005109	411116001	385055001	0	0	0
547051000005125	547411000005109	127489000	387455006	0	0	0
547061000005128	547611000005106	116680003	321315007	0	0	0
547071000005122	547611000005106	411116001	385055001	0	0	0
547081000005120	547611000005106	127489000	387455006	0	0	0
547211000005120	547811000005107	116680003	329653008	0	1	0
547221000005125	547811000005107	127489000	387207008	0	0	0
547231000005127	547811000005107	411116001	385055001	0	0	0
547411000005121	547821000005101	116680003	329654002	0	1	0
547421000005126	547821000005101	411116001	385055001	0	0	0
547431000005128	547821000005101	127489000	387207008	0	0	0
547611000005123	548011000005104	116680003	318926002	0	1	0
547621000005128	548011000005104	411116001	385049006	0	0	0
547631000005125	548011000005104	127489000	386871006	0	0	0
547811000005124	548211000005109	116680003	318926002	0	0	0
547821000005129	548211000005109	411116001	385049006	0	0	0
547831000005126	548211000005109	127489000	386871006	0	0	0
548211000005121	548611000005107	116680003	320177008	0	1	0
548221000005126	548611000005107	127489000	372897005	0	0	0
548411000005122	548811000005108	116680003	270459005	0	0	0
548421000005127	548821000005102	116680003	270459005	0	0	0
548431000005129	548831000005104	116680003	270459005	0	0	0
548441000005121	548841000005107	116680003	270459005	0	0	0
548451000005123	548851000005109	116680003	270459005	0	0	0
548461000005120	548861000005106	116680003	308340000	0	0	0
548471000005126	548871000005101	116680003	308340000	0	0	0
548481000005128	548881000005103	116680003	308340000	0	0	0
548491000005125	548891000005100	116680003	308340000	0	0	0
548501000005120	548901000005101	116680003	308340000	0	0	0
548511000005123	548911000005103	116680003	308340000	0	0	0
548521000005128	548921000005109	116680003	308340000	0	0	0
548611000005124	549011000005109	363714003	224329005	0	0	0
548621000005129	549011000005109	363714003	271905007	0	0	0
548631000005126	549011000005109	116680003	365565007	0	0	0
548811000005120	549211000005104	363714003	224329005	0	0	0
548821000005125	549211000005104	363714003	271905007	0	0	0
548831000005127	549211000005104	116680003	549011000005109	0	0	0
548841000005124	549221000005105	363714003	224329005	0	0	0
548851000005121	549221000005105	363714003	271905007	0	0	0
548861000005123	549221000005105	116680003	549011000005109	0	0	0
548871000005129	549231000005108	363714003	224329005	0	0	0
548881000005126	549231000005108	363714003	271905007	0	0	0
548891000005128	549231000005108	116680003	549011000005109	0	0	0
548901000005129	549241000005100	363714003	224329005	0	0	0
548911000005126	549241000005100	363714003	271905007	0	0	0
548921000005121	549241000005100	116680003	549011000005109	0	0	0
548931000005124	549251000005103	363714003	224329005	0	0	0
548941000005127	549251000005103	363714003	271905007	0	0	0
548951000005125	549251000005103	116680003	549011000005109	0	0	0
548961000005128	549261000005101	363714003	224329005	0	0	0
548971000005122	549261000005101	363714003	271905007	0	0	0
548981000005120	549261000005101	116680003	549011000005109	0	0	0
548991000005123	549271000005106	363714003	224329005	0	0	0
549001000005123	549271000005106	363714003	271905007	0	0	0
549011000005121	549271000005106	116680003	549011000005109	0	0	0
549211000005127	549411000005103	363714003	224329005	0	0	0
549221000005122	549411000005103	363714003	271905007	0	0	0
549231000005120	549411000005103	116680003	549011000005109	0	0	0
549241000005128	549421000005109	363714003	224329005	0	0	0
549251000005126	549421000005109	363714003	271905007	0	0	0
549261000005129	549421000005109	116680003	549011000005109	0	0	0
549271000005123	549431000005107	363714003	224329005	0	0	0
549281000005121	549431000005107	363714003	271905007	0	0	0
549291000005124	549431000005107	116680003	549011000005109	0	0	0
549301000005120	549441000005104	363714003	224329005	0	0	0
549311000005123	549441000005104	363714003	271905007	0	0	0
549321000005128	549441000005104	116680003	549011000005109	0	0	0
549411000005126	549611000005101	116680003	266750002	0	0	0
550211000005121	550411000005105	116680003	108343000	0	0	0
550411000005122	550611000005107	116680003	257585005	0	0	0
