Begrebs ID;Fuldt specificerende term;Foretrukken term ID;Foretrukken term;; 
416098002;Drug allergy (disorder);4743381000005110;allergi over for lægemiddel;;
293959006;Alcohol metabolism modifier allergy (disorder);3844511000005110;allergi over for alkoholstofskiftemodifikator;;
294420000;Alcohol products allergy (disorder);3951121000005110;allergi over for alkoholprodukter;;
420140004;Allergy to ethyl alcohol (disorder);3713551000005110;allergi over for ethanol;;
439109008;Allergy to alpha glucoside inhibitor (disorder);4611861000005110;allergi over for alfa-glukosid-hæmmer;;
91929009;Allergy to anti-infective agent (disorder);2012981000005110;Allergi over for antiinfektiøst middel;;
294450008;Anthelmintics allergy (disorder);4145241000005110;allergi over for anthelmintika;;
294457006;Benzimidazole anthelmintic allergy (disorder);4145261000005110;allergi over for ormemiddel indeholdende benzimidazol;;
294459009;Albendazole allergy (disorder);3981901000005110;allergi over for albendazol;;
294458001;Mebendazole allergy (disorder);3981911000005110;allergi over for mebendazol;;
294460004;Thiabendazole allergy (disorder);3981921000005110;allergi over for thiabendazol;;
294455003;Bephenium allergy (disorder);3981931000005110;allergi over for bephenium;;
294456002;Diethylcarbamazine allergy (disorder);3981941000005110;allergi over for diethylcarbamazin;;
294453005;Niclosamide allergy (disorder);3981951000005110;allergi over for niclosamid;;
294451007;Piperazine allergy (disorder);3981831000005110;allergi over for piperazin;;
294452000;Pyrantel allergy (disorder);3981841000005110;allergi over for pyrantel;;
294402009;Anti-infective nasal preparations allergy (disorder);4145271000005110;allergi over for antiinfektiøse præparater til nasal anvendelse;;
294461000;Antibacterial drug allergy (disorder);3981821000005110;allergi over for antibakterielt lægemiddel;;
294483001;4-quinolones allergy (disorder);3951131000005110;allergi over for 4-quinoloner;;
294484007;Acrosoxacin allergy (disorder);3981851000005110;allergi over for acrosoxacin;;
294485008;Cinoxacin allergy (disorder);3981861000005110;allergi over for cinoxacin;;
294487000;Ciprofloxacin allergy (disorder);3981871000005110;allergi over for ciprofloxacin;;
294488005;Enoxacin allergy (disorder);3981881000005110;allergi over for enoxacin;;
294486009;Nalidixic acid allergy (disorder);3955271000005110;allergi over for nalidixinsyre;;
294490006;Norfloxacin allergy (disorder);3981891000005110;allergi over for norfloxacin;;
294489002;Ofloxacin allergy (disorder);3981961000005110;allergi over for ofloxacin;;
294491005;Temafloxacin allergy (disorder);3981971000005110;allergi over for temafloxacin;;
91933002;Allergy to macrolide antibiotic (disorder);4197811000005110;allergi over for antibiotikum indeholdende macrolid;;
91931000;Allergy to erythromycin (disorder);3806331000005110;allergi over for erythromycin;;
294472005;Azithromycin allergy (disorder);3981981000005110;allergi over for azithromycin;;
294471003;Clarithromycin allergy (disorder);3981991000005110;allergi over for clarithromycin;;
91936005;Allergy to penicillin (disorder);4145291000005110;allergi over for penicillin;;
