Begrebs ID;Fuldt specificerende term;Foretrukken term ID;Foretrukken term; 
293702004;Chenodeoxycholic and ursodeoxycholic acid allergy (disorder);3,84786E+15;allergi over for chenodeoxycholsyre og ursodeoxycholsyre;
294056005;Methyldopa and diuretic allergy (disorder);3,84574E+15;allergi over for methyldopa og diuretikum;
294306008;Dimethyl-ether propane allergy (disorder);4,17588E+15;allergi over for dimethylether og propan;
294432001;Chlorhexidine hydrochloride and neomycin sulfate allergy (disorder);4,11169E+15;allergi over for chlorhexidinhydrochlorid og neomycinsulfat;
294522005;Ampicillin and cloxacillin allergy (disorder);3,98211E+15;allergi over for ampicillin og cloxacillin;
294523000;Amoxicillin + clavulanate potassium allergy (disorder);4,74383E+15;allergi over for amoxicillin og clavulanatkalium;
294525007;Piperacillin and tazobactam allergy (disorder);3,9821E+15;allergi over for piperacillin og tazobactam;
294526008;Pivampicillin and pivmecillinam allergy (disorder);3,95117E+15;allergi over for pivampicillin og pivmecillinam;
294527004;Ticarcillin and clavulanic acid allergy (disorder);4,09828E+15;allergi over for ticarcillin og clavulansyre;
294594004;Sulfamethoxazole and trimethoprim allergy (disorder);4,74384E+15;allergi over for sulfamethoxazol og trimethoprim;
294770001;Cyproterone acetate and ethinylestradiol allergy (disorder);4,11131E+15;allergi over for cyproteronacetat og ethinylenestradiol;
294824002;Oxytocin and ergometrine allergy (disorder);3,95489E+15;allergi over for oxytocin og ergometrin;
294837004;Disodium etidronate and calcium carbonate allergy (disorder);4,19829E+15;allergi over for etidronatdinatrium og calciumcarbonat;
294892008;Iron and folic acid allergy (disorder);3,95336E+15;allergi over for jern og folsyre;
295012004;Amiloride and loop diuretic allergy (disorder);4,17548E+15;allergi over for amilorid og loop-diuretikum;
295013009;Amiloride and thiazide diuretic allergy (disorder);4,17554E+15;allergi over for diuretikum indeholdende amilorid og thiazid;
295014003;Spironolactone and loop diuretic allergy (disorder);4,17549E+15;allergi over for spironolacton og loop-diuretikum;
295015002;Spironolactone and thiazide diuretic allergy (disorder);4,17564E+15;allergi over for diuretikum indeholdende spironolacton og thiazid;
295016001;Triamterene and loop diuretic allergy (disorder);4,1755E+15;allergi over for triamteren og loop-diuretikum;
295017005;Triamterene and thiazide diuretic allergy (disorder);4,17565E+15;allergi over for diuretikum indeholdende triamteren og thiazid;
297938000;Acetaminophen and dextropropoxyphene allergy (disorder);3,71385E+15;allergi over for co-proxamol;
293809001;Co-beneldopa allergy (disorder);3,84649E+15;allergi over for co-beneldopa;
293810006;Co-careldopa allergy (disorder);3,8465E+15;allergi over for co-careldopa;
294524006;Ampicillin + flucloxacillin allergy (disorder);434801014;Co-fluampicil allergy;
