substans	conceptid
^110^tin	8534003
^113^tin	25710007
^117m^tin	90150007
^119m^tin	72835003
^120^iod	50374006
^121^iod	34471003
^121^tin	6927001
^121m^tin	6952004
^122^iod	66956003
^123^iod	21572004
^123^tin	51774004
^124^iod	40937006
^125^iod	68630002
^125^tin	60908004
^126^iod	1381005
^127^tin	90664008
^129^iod	83912003
^130^iod	78529000
^131^iod	1368003
^132^iod	30324001
^133^iod	111066007
^135^iod	11121002
^18^fluorin	77004003
^38^kalium	423764008
^48^chrom	19622008
^51^chrom	52745005
^52^jern	69089000
^52^mangan	37225000
^53^mangan	10790005
^54^mangan	73353008
^55^cobalt	111078006
^55^jern	88954003
^56^cobalt	11331001
^56^mangan	43897008
^56^nikkel	27122000
^57^cobalt	27054007
^57^nikkel	57279001
^58^cobalt	89272005
^58m^cobalt	56158000
^59^jern	68580003
^59^nikkel	19427006
^60^cobalt	5405008
^60^jern	9396007
^60^kobber	425364008
^61^cobalt	21075006
^61^kobber	71425003
^62^kobber	422934004
^62^zink	65054007
^63^nikkel	69750003
^64^kobber	3932008
^65^nikkel	86865003
^65^zink	5312000
^66^nikkel	67154005
^67^kobber	53700003
^69^zink	38623000
^69m^zink	21559000
^72^selen	85958004
^72^zink	25128000
^73^selen	87437000
^75^bromin	17910003
^75^selen	43239002
^76^bromin	79523006
^77^bromin	86521004
^79^selen	3617004
^80^bromin	84990003
^80m^bromin	62661001
^90^molybden	41464007
^90^Yttrium	14691008
^93^molybden	1025008
^93m^molybden	84553006
^99^molybden	48861002
(-)-Mentholdehydrogenase	51303009
(+)-Neomentholdehydrogenase	38132002
(1-->3)-beta-D-glucan	409871008
(2-Aminoethyl)phosphonatpyruvataminotransferase	31857001
(deoxy)nucleosidphosphatkinase	72192004
(N-acethylneuraminyl)-galactosylglucosylceramid-N-acetylgalactosaminyltransferase	90019007
(R,R)-butandioldehydrogenase	29974005
(R)-2-hydroxyfedtsyre-dehydrogenase	16969002
(R)-2-methylmalatdehydratase	74678005
(R)-20-hydroxysteroiddehydrogenase	3339005
(R)-3-Amino-2-methylpropionat-pyruvataminotransferase	17174001
(R)-3-amino-2-methylpropionataminotransferase	69764003
(R)-6-Hydroxynicotinoxidase	112016003
(R)-Aminopropanoldehydrogenase	47618001
(r)-Dehydropantoatdehydrogenase	90534006
(S,S)-Butandioldehydrogenase	28142007
(S)-2-hydroxyfedtsyredehydrogenase	86712002
(S)-2-hydroxysyreoxidase	90902007
(S)-2-methylmalatdehydratase	77530007
(S)-3-amino-2-methylpropionataminotransferase	6884005
(S)-6-hydroxynicotinoxidase	12790002
(S)-Norlaudanosolinsynthase	89848008
(S)-tricyclamol	72737004
(S)-usnatreductase	15085001
[acylbærerprotein]-malonyltransferase	44407001
[eIF-5A]-deoxyhypusinesynthase	129967004
[Hydroxymethylglutaryl-CoA-reductase (NADPH)]-kinase	51876006
[Hydroxymethylglutaryl-CoA-reductase (NADPH)]-phosphatase	89289002
[Pyruvatdehydrogenase (lipoamid)]-kinase	43374003
[pyruvatkinase]-phosphatase	67812009
