drugid	drugname	substans	conceptid
28101368089	Flixonase	FLUTICASONPROPIONAT	396064000
28104540209	Olimel N9E	Phenylalanin	63004003
28104254807	Derinik	PRAMIPEXOL	386852009
28103186400	Perichol	SIMVASTATIN	387584000
28101197284	Omnipaque	IOHEXOL	395751002
28101773295	Clinimix N9G15E	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28104132007	Tizanidin "Teva"	TIZANIDINHYDROCHLORID	108462003
28101705894	Sotalol "Actavis"	SOTALOLHYDROCHLORID	125691000
28101432191	Bromam	BROMAZEPAM	387571009
28103088399	Kabiven	KALIUMCHLORID	8631001
28103194300	Sufentanil "Hameln"	SUFENTANILCITRAT	37527009
28101470391	Bifluorid	Natriumfluorid	6910009
28100732876	Menadion "Medic"	PHYTOMENADION	66656000
28103369602	Risperdal	RISPERIDON	386840002
28101028579	Visken	PINDOLOL	387102009
28104119407	Eligard	LEUPRORELINACETAT	70562007
28100994578	Vi-siblin	Loppefrøskaller	395763007
28101580493	Sandimmun Neoral	CICLOSPORIN	387467008
28103846605	Accusol 35	NATRIUMHYDROGENCARBONAT	387319002
28101186484	Azactam	AZTREONAM	387386004
28101038079	Instillagel	LIDOCAINHYDROCHLORID	61773008
28103261901	Aranesp	DARBEPOETIN ALFA	385608005
28103015398	Temodal	TEMOZOLOMID	387009002
28101230185	Diane Mite	CYPROTERONACETAT	126120000
28103169100	Atacand Zid 16 mg/12,5 mg	CANDESARTANCILEXETIL	386878000
28104288008	Phoxilium	NATRIUMHYDROGENCARBONAT	387319002
28101591194	Cytarabine "Pfizer"	CYTARABIN	387511003
28101113282	Vaminolac	Isoleucin	14971004
28103357302	Arcoxia	ETORICOXIB	409134009
28100142255	Phenergan	PROMETHAZINHYDROCHLORID	14905007
28103923006	Modina	Ethinylestradiol	126097006
28104489509	Temozolomide "Teva"	TEMOZOLOMID	387009002
28104146707	Asasantin Retard	ACETYLSALICYLSYRE	387458008
28103447802	Carvedilol "Arrow"	CARVEDILOL	386870007
28103287201	Remeron Smelt	MIRTAZAPIN	386847004
28101580693	Sandimmun Neoral	CICLOSPORIN	387467008
28104130707	Losartanka/HClthiazid"Orifarm"	HYDROCHLORTHIAZID	387525002
28103969806	Arcoxia	ETORICOXIB	409134009
28101042380	Aminoplasmal	Natriumhydroxid	23423003
28104540409	Olimel N9	Leucin	83797003
28104082807	Gabapentin "Bluefish"	GABAPENTIN	386845007
28101861096	Movicol	NATRIUMHYDROGENCARBONAT	387319002
28101502892	Bactroban	Mupirocin	387397004
28104588209	Seretide Diskus	FLUTICASONPROPIONAT	396064000
28103160200	Daivobet	BETAMETHASONDIPROPIONAT	88736007
28104158807	Diovan Comp 320 mg/12,5 mg	HYDROCHLORTHIAZID	387525002
28100656774	Gaviscon	NATRIUMHYDROGENCARBONAT	387319002
28104078506	Octreotide "Hospira"	OCTREOTIDACETAT	109055007
28104569209	Galieve Peppermint	NATRIUMHYDROGENCARBONAT	387319002
28101203484	Hexalacton	SPIRONOLACTON	387078006
28101773695	Clinimix N17G35E	METHIONIN	70288006
28103107699	Enacecor	HYDROCHLORTHIAZID	387525002
28103394102	Lisinopril/hydrochlorthiaz.San	HYDROCHLORTHIAZID	387525002
28101462691	Nobligan	TRAMADOLHYDROCHLORID	108505002
28103681504	Reminyl	GALANTAMINHYDROBROMID	129482002
28103202400	Nutriflex Special	Glutaminsyre	85214009
28104041706	Dorzolamid "Sandoz"	DORZOLAMIDHYDROCHLORID	126154004
28103485703	Alprazolam "Orifarm"	ALPRAZOLAM	386983007
28100583870	Brentan	MICONAZOLNITRAT	60727003
28104351508	Zofran	ONDANSETRON	372487007
28103107699	Enacecor	ENALAPRILMALEAT	387165009
28100290259	Strepsils	Amylmetacresol	421472002
28103853405	Equasym Depot	METHYLPHENIDATHYDROCHLORID	42163009
28100948557	Perilax	BISACODYL	387075009
28104242207	Strefen	FLURBIPROFEN	373506008
28103466603	Physioneal 40 Glucose Clear-F	NATRIUMCHLORID	387390002
28104469509	Temozolomid "STADA"	TEMOZOLOMID	387009002
28103512703	Diovan Comp 160 mg/12,5 mg	HYDROCHLORTHIAZID	387525002
28100713876	Fenylbutazon "OBA"	PHENYLBUTAZON	273951003
28101288686	Cisordinol Depot	ZUCLOPENTHIXOLDECANOAT	395932004
28101066381	Ventoline	SALBUTAMOLSULFAT	48474002
28103149400	Kabiven Perifer	Leucin	83797003
28104576909	Clopixol	ZUCLOPENTHIXOLDIHYDROCHLORID	426594007
28101508692	Mivacron	MIVACURIUMCHLORID	108447000
28103163400	Extraneal Clear-Flex	ICODEXTRIN	412135003
28104400708	Maxalt	RIZATRIPTANBENZOAT	108412008
28104170607	Alprazolam "Sandoz"	ALPRAZOLAM	386983007
28103491403	Magnyl Svage "DAK"	ACETYLSALICYLSYRE	387458008
28103734104	Baraclude	ENTECAVIR	416644000
28100632573	Dermovat	Clobetasolpropionat	32197004
28101431291	Cardioxane	DEXRAZOXAN	108825009
28103748004	Terbinafin "Orifarm"	TERBINAFINHYDROCHLORID	108927002
28103070299	Keppra	Levetiracetam	387000003
28104208007	True Test	Diphenylguanidin	256166007
28101342988	Accupro	QUINAPRILHYDROCHLORID	386875002
28100657975	Ventoline	SALBUTAMOLSULFAT	48474002
28104572009	Tobradex	TOBRAMYCIN	373548001
28103248101	Oliclinomel N4-550E	Olivenolie	41834005
28100636473	Diproderm	BETAMETHASONDIPROPIONAT	88736007
28103088399	Kabiven	Serin	14125007
28101262486	Ringer-acetat "Fresenius Kabi"	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28104241307	Ibustar	IBUPROFEN	387207008
28103153300	Tobi	TOBRAMYCIN	373548001
28101748495	Androcur	CYPROTERONACETAT	126120000
28104102407	Risperidon "Teva"	RISPERIDON	386840002
28104540009	Olimel N5E	Asparaginsyre	44970006
28100907976	Lestid	COLESTIPOLHYDROCHLORID	55316001
28103959006	Moxonidin "Actavis"	MOXONIDIN	395805008
28103464202	Simvastatin "KRKA"	SIMVASTATIN	387584000
28101188684	Hexapindol	PINDOLOL	387102009
28101066181	Voltaren Retard	DICLOFENACNATRIUM	62039007
28100641874	Dalacin	CLINDAMYCINPHOSPHAT	37648000
28103243901	Amoxic/clavulansyre "Actavis"	AMOXICILLINTRIHYDRAT	96068000
28104043506	Ropinirol "Mylan"	ROPINIROLHYDROCHLORID	108474004
28103933706	Oxaliplatin "Ebewe"	Oxaliplatin	395814003
28101546093	Myonil Retard	DILTIAZEMHYDROCHLORID	12218006
28101313787	Cymevene	GANCICLOVIR	372848001
28103690104	Fucicort Lipid	BETAMETHASONVALERAT	396005002
28103202400	Nutriflex Special	Tryptophan	54821000
28104098707	Thalidomide "Celgene"	THALIDOMID	78702007
28104056506	Oriptan	SUMATRIPTANSUCCINAT	96215002
28104692410	Avidart	DUTASTERID	385572003
28104330908	Solu-Medrol	METHYLPREDNISOLONNATRIUMSUCCINAT	412248005
28103074299	Klacid	CLARITHROMYCIN	387487009
28100661375	Solu-medrol	METHYLPREDNISOLONNATRIUMSUCCINAT	412248005
28103927206	Flecainid "Stada"	FLECAINIDACETAT	8886003
28103114599	Desorelle	Ethinylestradiol	126097006
28101773695	Clinimix N17G35E	Tyrosin	27378009
28103202300	Nutriflex Plus	Tryptophan	54821000
28103308101	bicaVera 2,3% Glucose	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28103271901	Xyzal	Levocetirizindihydrochlorid	425461004
28104155707	Ancozan Comp	HYDROCHLORTHIAZID	387525002
28103575703	Corodil Comp	HYDROCHLORTHIAZID	387525002
28101492292	Calcichew-D3	Calciumcarbonat	387307005
28103497903	Lamotrigin "Actavis"	LAMOTRIGIN	387562000
28103570703	Nexium	esomeprazolnatrium	426956003
28103007098	Cerazette	DESOGESTREL	126108008
28103775405	Mixamin Glucos 120 mg/ml	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28103517703	Cefotaxim "Stragen"	CEFOTAXIMNATRIUM	41722006
28101180684	Suprefact	BUSERELINACETAT	426572004
28100675575	Natriumklorid "Baxter" 9 mg/ml	NATRIUMCHLORID	387390002
28100745876	Prometazin "ERA"	PROMETHAZINHYDROCHLORID	14905007
28103204500	balance4,25%glucos1,25mmolCa/l	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28104342608	Targin	OXYCODONHYDROCHLORID	387024006
28104527909	Pevison	Econazolnitrat	73827006
28101052080	Serenase Dekanoat	HALOPERIDOL	386837002
28101133983	Vamin 18 g N/l Elektrolytfri	METHIONIN	70288006
28103817305	Glimepirid "KRKA"	GLIMEPIRID	386966003
28101530792	Lioresal	BACLOFEN	387342009
28103034198	Myocet	DOXORUBICIN	372817009
28103015598	Desmopressin "Actavis"	DESMOPRESSIN	126189002
28103646404	Xyrem	Natriumoxybat	410917003
28104366108	Metformin "Bluefish"	METFORMINHYDROCHLORID	109083009
28104707410	Fusidinsy/hydrocor.ace."2care4	HYDROCORTISONACETAT	79380007
28101131883	Veraloc	VERAPAMILHYDROCHLORID	14340003
28101327388	Zok-Zid	METOPROLOLSUCCINAT	412432007
28103941706	Moviprep	ASCORBINSYRE	43706004
28100616272	Treosulfan "Medac"	TREOSULFAN	395912000
28104695110	Pravastatin "2care4"	PRAVASTATIN	373566006
28104576709	Cosopt	DORZOLAMIDHYDROCHLORID	126154004
28101802496	Sepan	CINNARIZIN	395955001
28103874805	Ciprofloxacin "Fresenius Kabi"	CIPROFLOXACIN	372840008
28101001956	Carbocain-adrenalin	MEPIVACAINHYDROCHLORID	65741009
28103466603	Physioneal 40 Glucose Clear-F	NATRIUMHYDROGENCARBONAT	387319002
28101390289	Lamictal	LAMOTRIGIN	387562000
28100335260	Xylocain	LIDOCAIN	387480006
28104382908	Tobradex	TOBRAMYCIN	373548001
28103480403	StructoKabiven	Arginin	52625008
28103651804	Oraqix	LIDOCAIN	387480006
28103977506	Topiramat "Arrow"	TOPIRAMAT	386844006
28101825596	Genotropin Miniquick	SOMATROPIN	395883003
28101383289	Kalium-natrium-glucose "Braun"	KALIUMCHLORID	8631001
28101131083	Tegretol	CARBAMAZEPIN	387222003
28101122082	Condyline	Podophyllotoxin	76575003
28103099399	Zomig Rapimelt	ZOLMITRIPTAN	363582006
28103176100	Singulair	MONTELUKASTNATRIUM	108620002
28101914797	NeoRecormon	EPOETIN BETA	396043004
28100746876	Resorcinol "Ophtha"	Resorcinol	78032005
28103760404	Durogesic	FENTANYL	373492002
28101253786	Tracel	Natriumfluorid	6910009
28104559909	Losartanka./HClthiazid "Krka"	HYDROCHLORTHIAZID	387525002
28101563093	Peditrace	NATRIUMSELENIT	96277001
28103108599	Genotropin	SOMATROPIN	395883003
28101572893	Selegilin "Mylan"	SELEGILINHYDROCHLORID	108467009
28101892997	Canesten	CLOTRIMAZOL	387325003
28104585509	Leflunomide medac	LEFLUNOMID	386981009
28101860096	Evo-Conti	ESTRADIOLHEMIHYDRAT	116070003
28103342602	Felodin	FELODIPIN	386863007
28103946406	Mirtazapin "Orion"	MIRTAZAPIN	386847004
28101498492	Flixotide	FLUTICASONPROPIONAT	396064000
28101229585	Dexofan	Dextromethorphanhydrobromid	387237004
28103174300	Trileptal	OXCARBAZEPIN	387025007
28101120682	Sinemet 25/100	CARBIDOPA	73579000
28101564693	Sotalol "Mylan"	SOTALOLHYDROCHLORID	125691000
28103248101	Oliclinomel N4-550E	PROLIN	52541003
28104363408	Levocetirizindihydrochl. Stada	Levocetirizindihydrochlorid	425461004
28104540109	Olimel N7E	HISTIDIN	60260004
28101084681	Spirix	SPIRONOLACTON	387078006
28103424302	Ramipril "Stada"	RAMIPRIL	386872004
28104436908	Minirin	DESMOPRESSIN	126189002
28103045698	Hemosol B0	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28104807510	Adalat LA	NIFEDIPIN	387490003
28103659404	Cyproteronac./ethinylestr. RP	Ethinylestradiol	126097006
28101030479	Triquilar	Ethinylestradiol	126097006
28103871305	Lamotrigin "Teva"	LAMOTRIGIN	387562000
28100734376	Metadon "DAK"	Methadonhydrochlorid	23883005
28103775305	Mixamin Glucos 200 mg/ml	KALIUMHYDROXID	34763001
28103615203	Citalopram "Alternova"	CITALOPRAMHYDROBROMID	116521005
28103941706	Moviprep	Natriumascorbat	126231003
28104507209	Arthrotec Forte	MISOPROSTOL	387242007
28103204500	balance4,25%glucos1,25mmolCa/l	NATRIUMCHLORID	387390002
28103729003	Apidra	Insulin glulisin	411530000
28103990506	Seretide	FLUTICASONPROPIONAT	396064000
28100582370	Ovestin	ESTRIOL	73723004
28103880205	Volulyte	NATRIUMCHLORID	387390002
28100410862	GlucaGen	GLUCAGON	66603002
28103902806	Matrifen	FENTANYL	373492002
28100669675	Brentan	MICONAZOLNITRAT	60727003
28101666694	Vancomycin "Xellia"	VANCOMYCINHYDROCHLORID	66509009
28101773295	Clinimix N9G15E	NATRIUMACETAT	108951007
28103202400	Nutriflex Special	Serin	14125007
28104706210	Crinone	PROGESTERON	16683002
28103132600	Cefotrix	Ceftriaxonnatrium	33440000
28101205785	Imdur	Isosorbidmononitrat	386854005
28103270301	Cernevit	BIOTIN	8919000
28101297087	Sinemet 12,5/50	LEVODOPA	387086006
28103895406	Protaminsulfat "LEO Pharma"	PROTAMINSULFAT	64520006
28103718504	Mirtazapin "KRKA"	MIRTAZAPIN	386847004
28101133883	Vamin 14 g N/l Elektrolytfri	Isoleucin	14971004
28104569209	Galieve Peppermint	NATRIUMALGINAT	75876003
28104715010	Clopixol Depot	ZUCLOPENTHIXOLDECANOAT	395932004
28101133883	Vamin 14 g N/l Elektrolytfri	Tyrosin	27378009
28103786404	Aranesp	DARBEPOETIN ALFA	385608005
28103223300	Berodual	FENOTEROLHYDROBROMID	396053003
28103422602	Ramipril "ratiopharm"	RAMIPRIL	386872004
28104740910	Fragmin	Dalteparinnatrium	108987000
28104254707	Derinik	PRAMIPEXOL	386852009
28103940506	Risperidon "Krka"	RISPERIDON	386840002
28103912006	Granisetron "Stada"	GRANISETRONHYDROCHLORID	108425000
28103186500	Perichol	SIMVASTATIN	387584000
28101596894	Serevent	SALMETEROLXINAFOAT	108606009
28101706094	Sandostatin Lar	OCTREOTIDACETAT	109055007
28103339102	Duspatalin Retard	MEBEVERINHYDROCHLORID	395779008
28101844496	Diprosalic	BETAMETHASONDIPROPIONAT	88736007
28103168300	Trental	PENTOXIFYLLIN	387522004
28101308787	Madopar Depot	LEVODOPA	387086006
28103141000	Symbicort Turbuhaler	BUDESONID	395726003
28103466603	Physioneal 40 Glucose Clear-F	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28104588309	Seretide Diskus	FLUTICASONPROPIONAT	396064000
28101004478	Theo-dur	THEOPHYLLIN	372810006
28101477691	Trevina	MEDROXYPROGESTERONACETAT	126112002
28100727576	Koffisal "DAK"	SALICYLAMID	22192002
28100819278	Prednison "DAK"	PREDNISON	116602009
28103032398	Synagis	PALIVIZUMAB	386900007
28103880205	Volulyte	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28101580593	Sandimmun Neoral	CICLOSPORIN	387467008
28103681604	Reminyl	GALANTAMINHYDROBROMID	129482002
28101773295	Clinimix N9G15E	PROLIN	52541003
28101462591	Nobligan	TRAMADOLHYDROCHLORID	108505002
28100744876	Probenecid "Medic"	PROBENECID	387365004
28101591294	Cytarabine "Pfizer"	CYTARABIN	387511003
28101060981	Ibumetin	IBUPROFEN	387207008
28101839196	Otrivin ukonserveret	Xylometazolinhydrochlorid	75327003
28103792305	Plasmalyte	NATRIUMCHLORID	387390002
28100583470	Lederspan	TRIAMCINOLONHEXACETONID	412524002
28103357402	Arcoxia	ETORICOXIB	409134009
28103449602	Rimactazid	ISONIAZID	387472004
28101140583	Pentrexyl	AMPICILLINNATRIUM	96070009
28101750795	Evorel	ESTRADIOL	126172005
28104540109	Olimel N7E	Phenylalanin	63004003
28101454191	Propiden	LOPERAMIDHYDROCHLORID	57574005
28101337988	Tenormin	ATENOLOL	387506000
28104540409	Olimel N9	Arginin	52625008
28101272286	Ultravist	Iopromid	395756007
28100983278	Imodium	LOPERAMIDHYDROCHLORID	57574005
28101580793	Sandimmun Neoral	CICLOSPORIN	387467008
28103287101	Remeron Smelt	MIRTAZAPIN	386847004
28101187684	Hexaglucon	GLIBENCLAMID	384978002
28101304887	Vagifem	ESTRADIOLHEMIHYDRAT	116070003
28104539909	Olimel Perifer N4E	Asparaginsyre	44970006
28101006679	Eltroxin	LEVOTHYROXINNATRIUM	126202002
28100631773	Nitoman	TETRABENAZIN	363581004
28101278686	Baklofen "Mylan"	BACLOFEN	387342009
28104158907	Diovan Comp 320 mg/25 mg	HYDROCHLORTHIAZID	387525002
28101449191	Contalgin	MORPHINSULFAT	60886004
28101808696	Divina	MEDROXYPROGESTERONACETAT	126112002
28101335488	Aurorix	MOCLOBEMID	395800003
28104564809	Durogesic	FENTANYL	373492002
28103321701	Pamol Flash	PARACETAMOL	387517004
28103454402	Physioneal 35 Glucose Clear-F	NATRIUMHYDROGENCARBONAT	387319002
28104106507	Ratiograstim	FILGRASTIM	386948008
28101773295	Clinimix N9G15E	HISTIDIN	60260004
28103149400	Kabiven Perifer	Valin	72840006
28103946606	Mirtazapin "Orion"	MIRTAZAPIN	386847004
28104617709	Diproderm	BETAMETHASONDIPROPIONAT	88736007
28103202300	Nutriflex Plus	Glutaminsyre	85214009
28103637704	Duodopa	LEVODOPA	387086006
28104489409	Temozolomide "Teva"	TEMOZOLOMID	387009002
28103397002	Zyrona	Ethinylestradiol	126097006
28104777410	Inspra	EPLERENON	407010008
28104155507	Ancozan Comp	LOSARTANKALIUM	108582002
28104270507	SmofKabiven elektrolytfri	Olivenolie	41834005
28100458064	Celestonvalerat	BETAMETHASONVALERAT	396005002
28101759395	Didronel	ETIDRONATDINATRIUM	387581008
28103943106	Mircera	Methoxypolyethylenglycol-epoetin beta	425913002
28101426591	Anafranil Retard	CLOMIPRAMINHYDROCHLORID	387027004
28100110949	Xylocain	LIDOCAINHYDROCHLORID	61773008
28104321808	Lutinus	PROGESTERON	16683002
28103939706	Medikinet	METHYLPHENIDATHYDROCHLORID	42163009
28103466703	Physioneal 40 Glucose Clear-F	NATRIUMCHLORID	387390002
28103450202	Vagifem	ESTRADIOL	126172005
28103088399	Kabiven	Leucin	83797003
28101292187	Minulet	GESTODEN	395945000
28103232601	Zyvoxid	LINEZOLID	387056004
28103266201	Duovent	FENOTEROLHYDROBROMID	396053003
28103716904	Gabapentin "Orifarm"	GABAPENTIN	386845007
28100810078	Glycerol "OBA"	Glycerol	80582002
28103785305	Ringer-Acetat "Baxter" Viaflo	KALIUMCHLORID	8631001
28103248701	Oliclinomel N7-1000E	Valin	72840006
28103498303	Cefotaxim "ACS"	CEFOTAXIMNATRIUM	41722006
28104209507	Anastrozol "Arrow"	ANASTROZOL	386910003
28104170507	Alprazolam "Sandoz"	ALPRAZOLAM	386983007
28104596009	Imigran	SUMATRIPTAN	395892000
28103611203	Teveten Comp	HYDROCHLORTHIAZID	387525002
28103775305	Mixamin Glucos 200 mg/ml	Tyrosin	27378009
28103070399	Keppra	Levetiracetam	387000003
28104657410	Sprycel	Dasatinib	423658008
28104012006	Diclofenac "BMM Pharma"	DICLOFENACNATRIUM	62039007
28101917397	Dolol	TRAMADOLHYDROCHLORID	108505002
28103009598	Activelle	NORETHISTERONACETAT	126104005
28104586809	Amlodipin "Bluefish"	AMLODIPINBESILAT	384976003
28103202400	Nutriflex Special	Leucin	83797003
28101942297	Redap	ADAPALEN	386934008
28101218285	Unixan	THEOPHYLLIN	372810006
28104237207	Bicalustad	BICALUTAMID	386908000
28103805205	Exjade	Deferasirox	419985007
28103110799	Midazolam "Hameln"	MIDAZOLAMHYDROCHLORID	84213009
28103464302	Simvastatin "KRKA"	SIMVASTATIN	387584000
28101188584	Hexapindol	PINDOLOL	387102009
28101397490	Adalat Oros	NIFEDIPIN	387490003
28103827105	Fludarabinphosphat "Hospira"	FLUDARABINPHOSPHAT	108765002
28101306687	Streptase	STREPTOKINASE	395889004
28104539909	Olimel Perifer N4E	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28104038906	Humira	ADALIMUMAB	407317001
28100632673	Dermovat	Clobetasolpropionat	32197004
28103015498	Temodal	TEMOZOLOMID	387009002
28101727094	Topimax	TOPIRAMAT	386844006
28101473791	Fotil	TIMOLOLMALEAT	75359005
28104470009	Temozolomid "STADA"	TEMOZOLOMID	387009002
28100921177	Ventoline	SALBUTAMOLSULFAT	48474002
28104366208	Metformin "Bluefish"	METFORMINHYDROCHLORID	109083009
28100549668	Solu-medrol	METHYLPREDNISOLONNATRIUMSUCCINAT	412248005
28103308001	bicaVera 1,5% Glucose	MAGNESIUMCHLORIDHEXAHYDRAT	116128006
28103775305	Mixamin Glucos 200 mg/ml	Phenylalanin	63004003
28101897497	Atacand	CANDESARTANCILEXETIL	386878000
